CustomerID,Name,Age,Gender,Annual_Income,Spending_Score,Membership_Level,Purchase_Frequency,Membership_upgrade,Avg_Order_Value,Preferred_Cuisine,Weekend_Order_Ratio,App_Rating,Avg_Delivery_Tips,Discount_Usage_Freq,Total_Cuisines_Tried,Avg_Delivery_Time,Last_Month_Complaints
CUST1040,Connor Torres,34,Female,69622,74,Basic,14.4,0,43.31,Indian,0.55,4,2.63,Medium,3,43.1,0
CUST1041,Jennifer Beck,43,Male,54506,100,Silver,3,1,54.24,Thai,0.54,4,3.21,Medium,8,23.6,1
CUST1042,Michaela Miller,40,Male,55907,15,Basic,1.1,,29.88,Healthy,0.65,4,3.62,Medium,5,27.7,0
CUST1043,Ashley Luna,61,Male,64071,88,Gold,12.2,0,90.3,Thai,0.49,3,5.14,Low,7,21.9,0
CUST1044,Rhonda Mckinney,53,Female,62762,17,Gold,9.1,0,47.62,Healthy,0.45,3,4.74,Medium,8,44.7,0
CUST1045,Sandra Garner,67,Female,47056,88,Basic,14.5,0,54.7,Burger,0.58,4,5.32,High,6,34.3,0
CUST1046,Molly Reyes,29,Female,45600,42,Basic,1.2,0,37.01,Mexican,0.58,5,3,Medium,5,25.2,0
CUST1047,Edward Pearson,18,Male,44377,69,Gold,8.7,1,45.27,Mexican,0.48,5,6.2,High,8,50.7,0
CUST1048,Ricardo Garcia,39,Male,55556,81,Gold,5.3,0,58.15,Indian,0.66,4,3.9,Medium,1,40,0
CUST1049,Todd Torres,30,Male,56228,30,Basic,3,,38.51,Thai,0.49,4,3.28,Medium,1,36.9,0
CUST1050,Michael Hopkins,37,Male,51315,57,Platinum,12.1,1,75.41,Thai,0.51,4,9.61,Low,1,36.4,0
CUST1051,Amanda Cardenas,43,Female,54196,19,Basic,11.7,0,69.11,Pizza,0.57,5,3.67,Medium,3,21.4,0
CUST1052,Daniel Krueger,24,Female,70974,13,Gold,11.1,0,102.17,Italian,0.68,1,11.98,High,10,40.6,0
CUST1053,Rebekah Weber,57,Female,49547,24,Platinum,8.9,0,69.11,Burger,0.39,5,9.1,High,6,30.8,0
CUST1054,Joseph Mills,51,Female,55793,2,Gold,12.5,0,61.26,Mexican,0.4,4,8.77,High,6,43.7,0
CUST1055,Sara Dominguez,42,Male,68697,45,Gold,2.7,0,97.68,Burger,0.64,4,13.44,Low,5,41.4,1
CUST1056,Colton Adams,38,Female,76286,62,Platinum,8.8,1,44.89,Mexican,0.63,1,3.68,Medium,7,34.4,0
CUST1057,Monica Carney,22,Male,48930,6,Basic,7.4,,34.05,Burger,0.62,4,3.7,Medium,5,33.7,0
CUST1058,Linda Jordan,46,Female,31847,41,Basic,2.4,0,17.36,Chinese,0.36,4,1,Medium,2,51.6,0
CUST1059,Tammy Hammond,69,Male,79478,48,Silver,14.7,0,65.6,Healthy,0.51,2,4.97,Low,4,21.6,1
CUST1060,Jacqueline Carter,38,Male,56338,24,Gold,6.7,0,50.07,Mexican,0.26,3,2.98,High,1,29.3,0
CUST1061,Steve Robinson,40,Female,59068,66,Silver,4.6,0,45.56,Burger,0.33,5,3.71,High,7,46.4,1
CUST1062,Martha Rogers,64,Female,45913,85,Silver,11.7,0,61.01,Thai,0.68,4,8.39,Medium,4,49.9,0
CUST1063,Jenna Mills,25,Female,55695,64,Basic,2.1,0,47.72,Italian,0.77,4,4.04,Low,4,33.6,0
CUST1064,John Hunter,35,Female,64125,48,Basic,9.4,0,50.08,Chinese,0.57,2,5.32,Low,4,28,0
CUST1065,Amy Sanders,53,Female,67877,19,Basic,9.6,0,70.78,Chinese,0.5,4,6.61,Medium,3,28.2,0
CUST1066,Rebecca Washington,56,Male,62012,2,Gold,3.1,1,39.74,Italian,0.42,4,3.81,Low,8,20.7,0
CUST1067,Gabrielle Chavez,26,Female,51418,21,Silver,4.5,1,66.96,Burger,0.27,4,9.84,High,4,55,0
CUST1068,Paula Evans,50,Female,59244,18,Silver,6.1,1,34.04,Thai,0.75,4,2.71,Medium,8,33.5,0
CUST1069,Meredith Gaines,34,Female,71008,56,Basic,9.5,,105.58,Indian,0.64,4,11.9,Medium,9,39.6,0
CUST1070,Erin Garza,46,Male,69844,64,Silver,8.7,1,88.86,Italian,0.38,4,8.18,Medium,1,39.8,1
CUST1071,John Carey,41,Male,73991,14,Gold,14.5,0,51.7,Burger,0.56,3,2.9,Low,4,49.8,0
CUST1072,Amanda Jensen,25,Male,80527,34,Silver,5.5,1,40.71,Italian,0.3,5,4.03,High,6,30.8,0
CUST1073,Johnny Collins,23,Male,49362,7,Basic,11.1,,64.93,Italian,0.52,4,8.53,Medium,8,31.5,0
CUST1074,Amy Taylor,34,Male,72043,69,Basic,4.9,,86.95,Mexican,0.64,3,5.21,High,6,43.3,0
CUST1075,Garrett Blackwell,59,Male,74978,69,Basic,7.5,0,92.15,Burger,0.5,4,5.25,Medium,6,17.1,0
CUST1076,Kathy Stokes,28,Male,45922,31,Silver,13.6,1,58.38,Indian,0.54,5,3.82,Medium,10,49.9,0
CUST1077,Jeffrey Davis MD,18,Male,50290,82,Platinum,2.5,1,28.87,Healthy,0.38,3,3.65,Low,4,52.4,0
CUST1078,Michele Gallegos,57,Male,65753,62,Basic,10.2,,56.45,Mexican,0.73,3,6.91,Medium,9,37.5,1
CUST1079,Sara Torres,22,Female,54598,93,Platinum,11.7,0,33.63,Italian,0.65,4,3.58,Medium,7,25.6,0
CUST1080,Scott Holden,28,Male,40390,37,Gold,7.8,1,55.06,Healthy,0.46,3,5.33,Medium,6,43.5,0
CUST1081,John Wise,48,Female,46573,48,Silver,2.4,1,52.32,Pizza,0.43,5,7.26,Medium,1,33.1,0
CUST1082,Russell Jenkins DDS,27,Female,37156,94,Platinum,12.4,0,30.87,Healthy,0.72,2,3.91,Low,2,36.4,0
CUST1083,Todd Stafford,51,Female,62349,96,Gold,13.8,0,35.14,Italian,0.57,5,4.61,High,6,37.2,0
CUST1084,Tracey Reyes,32,Male,64018,88,Basic,11.2,0,51.92,Italian,0.5,2,6.82,High,1,28.4,0
CUST1085,Savannah Moran,24,Male,53128,12,Silver,1.2,1,43.84,Thai,0.3,1,5.01,Low,5,38.5,0
CUST1086,Angela Bowman,59,Male,80052,90,Gold,10.2,0,98.43,Burger,0.43,5,9.43,High,1,20.4,0
CUST1087,Charles Atkinson,36,Male,57857,8,Silver,5.7,0,65.82,Burger,0.68,4,8.98,Low,3,15,0
CUST1088,Anthony Watson,43,Male,65154,62,Basic,10.4,0,90.38,Mexican,0.22,4,12.89,Medium,7,38.6,0
CUST1089,Ronald Ball,43,Male,72479,80,Basic,12.1,0,70.47,Indian,0.24,3,3.69,Low,5,45.4,1
CUST1090,Katherine Wilson,22,Female,64147,4,Gold,8,0,39.75,Mexican,0.43,4,2.19,High,10,29.9,0
CUST1091,Christine Green,47,Female,51969,86,Basic,9.6,0,63.05,Chinese,0.45,4,9.2,Low,1,29.3,1
CUST1092,Caleb Bentley,50,Male,75324,32,Silver,12.2,0,94.97,Italian,0.69,5,7.38,Medium,1,41.5,0
CUST1093,Jacob Baker,48,Male,56297,93,Basic,5.8,0,59.75,Healthy,0.43,5,8.21,Medium,8,34.8,1
CUST1094,Travis Campbell,59,Female,70425,42,Gold,5.5,0,89.51,Pizza,0.58,4,7.96,Low,9,29.3,0
CUST1095,Anthony Moore,35,Male,40919,98,Basic,14.4,0,40.67,Italian,0.6,4,2.52,Medium,7,38.1,0
CUST1096,Christopher Gutierrez,43,Female,37240,88,Silver,9.6,0,38.09,Italian,0.59,4,2.21,Low,3,35.1,0
CUST1097,David Cunningham,41,Male,80731,24,Basic,5.3,0,74.88,Mexican,0.65,4,4.92,Medium,6,22.5,0
CUST1098,Mathew Estrada,66,Female,58044,100,Platinum,1.5,1,30.5,Pizza,0.6,2,2.29,High,3,33.9,0
CUST1099,Melissa Shah,57,Female,57474,54,Gold,4.4,0,34.94,Pizza,0.29,3,3.45,High,10,36.8,0
CUST1100,Michael Lane,44,Female,57162,89,Silver,11.5,0,30.38,Pizza,0.47,2,3.65,High,4,29.7,0
CUST1101,Justin Garcia,59,Male,52854,52,Silver,6.9,1,60.06,Mexican,0.74,2,8.93,Low,4,44.3,0
CUST1102,Cynthia Kline,66,Male,57776,6,Platinum,1.7,1,47.05,Italian,0.69,3,4.43,Low,3,39.8,1
CUST1103,Kerry Long,52,Female,81397,56,Gold,12.7,0,82.09,Mexican,0.47,4,8.36,Medium,10,32.2,0
CUST1104,Abigail Krause,40,Female,42245,65,Basic,10.5,0,59.46,Burger,0.67,5,6.08,Low,6,36.3,0
CUST1105,Angel Burton,45,Male,43441,41,Silver,14.3,0,32.55,Burger,0.42,4,3.38,High,5,31.2,0
CUST1106,Deborah Kane,19,Male,54833,22,Platinum,7,0,49.92,Mexican,0.57,3,5.08,Low,9,32.8,0
CUST1107,April Williams,32,Male,61153,12,Basic,11.2,,76.78,Pizza,0.44,2,3.91,High,9,33.1,0
CUST1108,Gina Weeks,53,Male,68879,81,Basic,3.3,0,50.2,Thai,0.67,4,2.52,Low,3,17.3,0
CUST1109,Emily Hardin,25,Male,61923,57,Basic,1.1,,35.73,Italian,0.52,3,2.14,High,9,35.3,0
CUST1110,Daniel White,31,Female,57907,41,Silver,3.7,1,45.73,Mexican,0.55,4,2.75,Low,3,38.2,0
CUST1111,Mary West,53,Female,77052,58,Silver,11.8,0,50.95,Mexican,0.3,5,6.14,Low,4,59.6,1
CUST1112,John Chen,27,Female,70289,2,Basic,2,,100.49,Mexican,0.66,2,7.08,Medium,1,39.4,0
CUST1113,Steven Jones,53,Male,61466,96,Silver,4.7,0,80.4,Thai,0.44,3,11.21,Low,5,28.5,0
CUST1114,Morgan Mckinney,37,Female,39130,47,Basic,5.2,0,44.35,Thai,0.46,4,6.34,Medium,9,18.6,0
CUST1115,Jeanne Miller,57,Female,60012,69,Gold,10.5,1,82.3,Chinese,0.57,5,12.15,Medium,2,24.4,0
CUST1116,Renee Lewis,57,Male,62228,54,Gold,10.7,0,81.12,Burger,0.68,5,11.67,Low,4,30,0
CUST1117,Brandon Miller,68,Female,70510,76,Gold,3.8,0,48.41,Healthy,0.5,5,3.74,High,10,30.2,1
CUST1118,Melissa Davenport,59,Female,38242,57,Gold,12.8,0,53.25,Pizza,0.44,3,5.38,Medium,2,32.6,0
CUST1119,Anthony Robinson,34,Female,49468,82,Platinum,4.8,0,51.41,Indian,0.48,5,3.47,Medium,8,31,0
CUST1120,Mrs. Shannon Campbell,50,Female,85475,94,Basic,10.5,0,111.75,Thai,0.57,2,14.6,Medium,9,32.7,0
CUST1121,Alec Smith,50,Male,52975,4,Gold,5,0,73.96,Healthy,0.63,2,10.27,Medium,3,30.8,1
CUST1122,Elizabeth Suarez,64,Male,43156,33,Gold,1.7,1,35.3,Thai,0.6,5,4.77,Low,9,35.2,0
CUST1123,Jeffery Camacho,25,Male,49673,89,Gold,6.5,0,30.3,Pizza,0.42,5,2.83,Low,6,26,0
CUST1124,Lauren Green,62,Male,49163,83,Silver,7.4,1,35.79,Indian,0.66,2,4.5,Medium,6,22.4,0
CUST1125,Kyle Lopez,63,Male,80442,27,Basic,12.2,0,74.58,Chinese,0.59,2,4.46,Medium,7,32.6,0
CUST1126,Scott Ortiz,62,Male,57960,33,Basic,5.2,0,76.39,Mexican,0.56,1,4.13,Low,5,39.3,0
CUST1127,Sonya Berger,24,Male,63783,20,Basic,6,,86.79,Chinese,0.6,2,10.88,Medium,6,23.8,0
CUST1128,Elizabeth Dunn,68,Female,38948,87,Basic,6.7,0,19.74,Thai,0.58,3,1.83,Medium,1,29.3,0
CUST1129,Isaiah Walker,67,Male,40001,23,Silver,6.2,0,40.43,Chinese,0.6,5,6.05,Low,3,33.5,0
CUST1130,Michael Hubbard,68,Male,65597,84,Basic,3.3,0,60.18,Healthy,0.57,4,3.59,Low,9,33.3,0
CUST1131,Michael Adams,37,Male,57915,50,Platinum,12.5,0,41.82,Italian,0.31,5,5.67,Medium,5,42.5,1
CUST1132,Diana Byrd,50,Female,46570,42,Basic,10.8,,28.87,Thai,0.29,5,2.83,Low,5,44.4,0
CUST1133,Heather Huang,50,Male,56051,13,Platinum,9.2,0,46.95,Thai,0.63,4,6.23,Low,8,37.2,0
CUST1134,Benjamin Obrien,25,Female,91684,23,Basic,13.7,0,132.29,Healthy,0.29,5,17.42,Low,2,47.1,0
CUST1135,Terry Gonzalez,43,Male,56558,61,Gold,6.6,0,46.56,Burger,0.44,4,6.59,High,7,31.3,0
CUST1136,Elizabeth Swanson,39,Male,53433,94,Gold,11.7,0,54.44,Indian,0.57,3,4.34,Medium,9,43.4,1
CUST1137,Tonya Hoover,57,Male,61105,54,Basic,3.4,0,73.51,Mexican,0.61,4,10.66,Low,7,28.9,0
CUST1138,Michael Miller,34,Female,47966,80,Basic,12.3,0,41.42,Healthy,0.54,4,2.7,Low,5,38,0
CUST1139,Joseph Smith,63,Male,46453,25,Silver,12.9,0,68.37,Indian,0.51,5,3.98,Medium,6,41.4,0
CUST1140,Robert Todd,64,Male,56669,28,Silver,5,0,82.88,Pizza,0.41,5,7.72,Medium,4,35.6,0
CUST1141,Abigail Wheeler,49,Female,9857,13,Basic,3.1,,7.41,Indian,0.84,4,0.98,Medium,7,25.4,0
CUST1142,Brittany Raymond,37,Female,44044,50,Platinum,4.6,0,43.92,Pizza,0.55,5,4.28,High,1,18.3,0
CUST1143,Jeffery Crawford,65,Female,65920,68,Basic,12.4,,52.79,Healthy,0.72,2,7.02,Medium,4,40.6,0
CUST1144,Timothy Gamble,57,Female,54128,58,Basic,12.1,0,42.48,Thai,0.61,5,5.22,Low,3,32.3,0
CUST1145,Susan Brooks,26,Male,56068,18,Basic,2.4,,30.1,Thai,0.5,4,2.14,Medium,4,33,0
CUST1146,Alexandra Garza,67,Male,48245,31,Gold,6.7,0,53.53,Burger,0.63,1,7.76,High,1,50,1
CUST1147,Allen Ashley,23,Male,50117,95,Silver,5.2,0,50.25,Healthy,0.19,4,2.82,Medium,2,25.5,0
CUST1148,Phillip Lucas,18,Male,48428,67,Gold,10.8,0,26.71,Pizza,0.93,4,3.73,Medium,9,42.4,0
CUST1149,Kristi White,52,Female,47750,94,Basic,12.5,0,37.18,Indian,0.67,2,2.99,Low,7,27.6,0
CUST1150,Rachel Austin,60,Male,42692,28,Gold,3.2,1,60.12,Indian,0.52,5,6.01,Low,6,33.2,0
CUST1151,Raymond Benton,27,Female,73303,7,Platinum,3.5,1,54.21,Pizza,0.59,2,5,Medium,2,24.1,0
CUST1152,Scott Wilkins,67,Male,77027,49,Platinum,6.2,0,49.67,Chinese,0.42,5,3.34,High,1,27.6,0
CUST1153,Dennis Jordan,38,Female,49103,56,Gold,6.3,0,48.59,Burger,0.47,4,4.17,Medium,2,39.1,0
CUST1154,Matthew Knight,38,Male,69660,8,Gold,2.4,1,103.49,Italian,0.67,3,7.17,Medium,7,47.9,0
CUST1155,Jennifer Pratt,69,Male,58532,16,Basic,9.5,0,43.43,Thai,0.65,4,3.06,Low,2,39.2,0
CUST1156,Luke Nelson,65,Female,64289,32,Basic,1.1,,75.36,Mexican,0.51,4,5.18,Low,3,38.1,0
CUST1157,Ryan Hunter,32,Male,59280,81,Basic,6.5,0,74.79,Indian,0.43,4,7.4,Medium,8,60,0
CUST1158,Heather Deleon,61,Female,57848,70,Basic,11.1,,42.67,Mexican,0.56,4,5.54,Low,7,40.6,0
CUST1159,Melissa Figueroa,63,Male,74142,80,Platinum,13.7,0,91.06,Italian,0.51,4,9.73,Medium,9,25.7,0
CUST1160,Melissa Russell,23,Female,62624,91,Gold,11.6,0,54.34,Healthy,0.71,4,7.57,Low,4,18.2,1
CUST1161,Kristin Nash,37,Female,56562,59,Platinum,1.9,0,64.05,Mexican,0.37,5,7.28,Medium,7,38.8,1
CUST1162,Jeffrey Hansen,20,Male,48963,28,Silver,7.5,0,55.5,Italian,0.38,3,6.6,High,1,20.9,0
CUST1163,Natalie Mckee,41,Male,63079,97,Platinum,7.8,1,65.34,Thai,0.44,4,7.63,Medium,2,25,0
CUST1164,Jared Moore,38,Female,46265,92,Gold,13.4,0,27.31,Pizza,0.35,3,2.59,Low,7,38,0
CUST1165,James Hodges,64,Male,85928,89,Gold,3.3,0,114.74,Chinese,0.09,5,13.65,Medium,2,45.4,0
CUST1166,Felicia Duran,52,Female,57017,79,Platinum,13.8,0,46.8,Thai,0.69,5,2.67,High,6,32.1,0
CUST1167,David Stephens,21,Male,84331,13,Gold,4.1,1,57.89,Indian,0.56,3,7.87,Medium,10,22.9,0
CUST1168,Latoya Washington,68,Female,38116,75,Gold,8.1,0,20.61,Italian,0.42,2,2.63,Low,9,33.5,0
CUST1169,Diamond Williams,46,Female,40707,98,Gold,9.5,0,44.41,Mexican,0.33,1,3.31,Low,5,32.3,0
CUST1170,Jacob Davis,38,Male,72067,26,Silver,12.5,0,84.86,Indian,0.68,4,10.76,Low,10,36.2,0
CUST1171,Angela Melendez,25,Male,67850,90,Silver,3.5,0,35.05,Chinese,0.39,4,1.8,Low,7,23,0
CUST1172,Pamela Mccullough,42,Female,68519,97,Silver,3.1,0,69.35,Pizza,0.45,5,4.97,High,1,26.6,0
CUST1173,Robin Perez,40,Female,76310,18,Gold,4.8,1,55.44,Healthy,0.44,4,3.13,High,8,45.2,0
CUST1174,Jordan Thompson,46,Male,76597,2,Silver,6.4,1,87.72,Indian,0.55,3,11.23,Low,9,42.6,1
CUST1175,Jay Nichols,41,Female,62379,57,Platinum,11.6,1,42.07,Healthy,0.36,5,5.28,Low,5,46.6,0
CUST1176,Melissa Marquez,29,Male,57337,2,Silver,6,1,68.28,Italian,0.68,4,8.97,Low,6,16.5,0
CUST1177,Alicia Payne,53,Male,54467,50,Gold,9.1,0,48.3,Chinese,0.47,4,2.44,High,8,26.1,0
CUST1178,Jeremy Hatfield,19,Male,76093,65,Silver,5.6,0,109.33,Mexican,0.73,2,10.95,Medium,4,44.9,0
CUST1179,Amanda Underwood,50,Male,61704,67,Gold,1.2,0,39.34,Chinese,0.44,4,4.74,Medium,2,40.9,0
CUST1180,Gary Murray,33,Female,75493,5,Gold,4.1,1,63.49,Chinese,0.63,5,4.16,Medium,10,39.1,1
CUST1181,Brandon Watson,63,Female,72070,88,Silver,4.4,1,44.21,Burger,0.32,4,5.08,Medium,8,31.4,0
CUST1182,Tiffany Joyce DVM,61,Male,71053,41,Silver,3.3,1,101.23,Chinese,0.7,3,5.91,Low,2,28.8,1
CUST1183,Melissa Lee,21,Female,46204,10,Silver,7.1,0,63.64,Chinese,0.78,4,4.34,Low,5,35.3,0
CUST1184,Paul Hicks,41,Male,71156,91,Platinum,11.6,0,53.93,Thai,0.1,5,5.26,Medium,6,30.5,0
CUST1185,Nicholas Jones,27,Female,21711,11,Silver,8.1,0,25.18,Indian,0.69,3,2.9,Medium,5,40.3,0
CUST1186,Eric Hernandez,29,Male,62993,83,Silver,10.3,0,82.98,Mexican,0.43,4,5.36,Low,6,35.4,0
CUST1187,Susan Olsen,31,Female,64342,73,Basic,2.5,,67.89,Thai,0.84,5,4.65,Low,6,25.3,0
CUST1188,Daniel Martinez,33,Female,46416,4,Platinum,14.6,0,47.79,Thai,0.41,3,3.37,Low,3,41.3,0
CUST1189,Teresa Williamson,37,Female,62712,6,Platinum,9.6,0,46.52,Indian,0.66,4,3.44,Medium,3,47.5,0
CUST1190,Xavier Rivera,30,Female,56304,15,Platinum,5.6,0,33.39,Indian,0.55,4,2.43,Medium,9,48.2,0
CUST1191,Kevin Curry,53,Male,70192,73,Platinum,1.6,0,98.07,Italian,0.4,4,8.78,High,3,41.7,0
CUST1192,Paul Rodriguez,65,Male,51666,5,Silver,10.5,0,72.35,Indian,0.63,4,8.35,Low,3,41.9,0
CUST1193,John Sutton,28,Male,72676,20,Silver,2.2,1,82.35,Burger,0.26,3,7.72,Low,2,23.4,1
CUST1194,Brian Wolfe,51,Female,65373,95,Platinum,13.7,0,54.85,Burger,0.55,4,7,Low,7,28.3,0
CUST1195,William Moses,44,Female,58367,16,Silver,14.3,0,49.57,Thai,0.46,3,6.04,Medium,10,33.3,0
CUST1196,Samantha Fields,34,Female,55517,35,Gold,12.3,0,68.06,Healthy,0.63,4,4.26,Medium,10,40.9,0
CUST1197,Peter Peterson,18,Female,40479,28,Gold,9.6,1,56.55,Italian,0.51,3,3.1,Medium,4,29,0
CUST1198,Charles Wang,69,Male,69760,39,Platinum,1.8,1,96.76,Healthy,0.55,1,13.33,Low,1,31.9,1
CUST1199,Kim Lewis,32,Female,27910,25,Basic,7.2,0,35.72,Healthy,0.58,5,2.07,Medium,6,40.6,0
CUST1200,John Miller,27,Male,56019,70,Basic,7.7,0,63.98,Thai,0.43,4,4.15,High,5,36.4,0
CUST1201,Nicole Carroll,66,Female,56337,49,Platinum,3.4,1,32.91,Pizza,0.54,5,1.72,High,2,38.3,0
CUST1202,Alexis Johnson,42,Male,67961,47,Silver,2.6,0,44.96,Thai,0.77,2,5.07,High,6,27.2,0
CUST1203,Jessica Bates,29,Male,83701,58,Gold,2,0,117.06,Mexican,0.53,4,12.67,Medium,1,31.8,1
CUST1204,Sandy Hall,39,Male,85300,12,Silver,11.3,0,94.38,Mexican,0.44,3,14.03,High,3,30.3,0
CUST1205,Sarah Miller,19,Female,68816,24,Silver,9.4,0,35.04,Indian,0.65,5,4.86,Low,4,35,0
CUST1206,Nicholas Martinez,45,Male,79069,29,Gold,10.3,1,47.56,Indian,0.42,5,4.33,Low,3,30.7,0
CUST1207,Darren Rose,68,Male,77115,75,Basic,5.9,0,89.72,Pizza,0.76,2,7.82,Low,6,29.3,0
CUST1208,Ryan Walsh,33,Male,69973,26,Silver,13,0,35.34,Indian,0.7,5,2.82,Medium,4,36.3,0
CUST1209,Sarah Coleman,22,Female,54143,10,Basic,3.1,,35.78,Mexican,0.42,3,2.33,High,1,56,0
CUST1210,Lindsay Matthews,38,Male,50219,52,Silver,14.4,0,52.67,Healthy,0.42,4,3.36,Low,5,40.8,0
CUST1211,Katherine Skinner,30,Male,49509,5,Basic,11.3,0,59.01,Thai,0.61,5,3.73,Medium,5,17.2,0
CUST1212,Kylie Kelly,59,Female,64763,73,Platinum,11.1,0,74.6,Chinese,0.71,5,4.58,Medium,9,38.5,0
CUST1213,Heather Smith,27,Male,52845,23,Basic,1.7,,38.27,Burger,0.64,5,2.83,High,8,29.9,0
